,hpp_content,hpp_errors,hAA_content,hAA_errors
0,1.118516,0.0006107765,0.0,0.0
1,0.1920894,0.0003700558,0.0,0.0
2,0.007120608,4.49924e-05,0.0,0.0
3,0.001577695,1.821935e-05,0.0004135252,1.06535e-06
4,0.0004146155,7.447584e-06,0.0001128615,4.957864e-07
5,0.0001296542,2.939223e-06,5.329878e-05,3.151375e-07
6,4.644327e-05,1.155389e-06,2.740152e-05,2.136749e-07
7,2.057404e-05,5.875219e-07,1.417387e-05,1.451485e-07
8,9.958874e-06,1.855936e-07,8.002939e-06,1.005136e-07
9,4.334099e-06,1.141886e-07,3.765388e-06,5.988379e-08
10,1.442999e-06,3.0114e-08,1.418623e-06,3.659272e-08
11,5.654266e-07,5.526975e-09,5.724047e-07,2.201622e-08
12,2.407638e-07,2.701332e-09,2.704585e-07,1.464843e-08
13,1.094223e-07,1.525211e-09,1.308473e-07,9.694462e-09
14,3.354351e-08,6.343152e-10,3.482406e-08,3.96629e-09
15,6.04691e-09,9.460454e-11,5.969517e-09,1.470905e-09
16,7.423793e-10,2.709424e-11,8.159869e-10,4.142606e-10
17,3.350337e-11,4.271672e-13,1.976192e-11,1.499208e-11
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
